year,population_pred,county
2032,132294.89794020556,Barrow County
2033,138827.12759630792,Barrow County
2034,145938.51916629286,Barrow County
2025,120725.56667608737,Bartow County
2026,124929.44096452981,Bartow County
2027,130717.54286972036,Bartow County
2028,138824.3418587489,Bartow County
2029,150315.44812628237,Bartow County
2030,166424.58621545043,Bartow County
2031,188550.12773608798,Bartow County
2032,218068.4392642757,Bartow County
2033,256544.2154708104,Bartow County
2034,306282.6177662988,Bartow County
2025,16895.399301515412,Ben Hill County
2026,16879.693279153496,Ben Hill County
2027,16755.28997334614,Ben Hill County
2028,16700.910852545938,Ben Hill County
2029,16646.91151880337,Ben Hill County
2030,16554.842380286267,Ben Hill County
2031,16492.019444342728,Ben Hill County
2032,16423.829860280475,Ben Hill County
2033,16342.198886607486,Ben Hill County
2034,16271.305692676673,Ben Hill County
2025,18825.960459309303,Berrien County
2026,19037.771144978884,Berrien County
2027,19195.306191701984,Berrien County
2028,19372.90729686308,Berrien County
2029,19565.448191492007,Berrien County
2030,19750.846476750627,Berrien County
2031,19945.208228921714,Berrien County
2032,20147.95301394338,Berrien County
2033,20354.728637351895,Berrien County
2034,20569.210275563128,Berrien County
2025,157426.5133434546,Bibb County
2026,157817.88192277786,Bibb County
2027,158211.47543890728,Bibb County
2028,158609.31561539538,Bibb County
2029,159014.32138183626,Bibb County
2030,159427.29426095713,Bibb County
2031,159849.17423331435,Bibb County
2032,160280.92832684156,Bibb County
2033,160723.35730681402,Bibb County
2034,161177.13033077345,Bibb County
2025,12752.047053917358,Bleckley County
2026,12891.972236263644,Bleckley County
2027,13047.041591474212,Bleckley County
2028,13200.69544134904,Bleckley County
2029,13354.07465451433,Bleckley County
2030,13511.099300614886,Bleckley County
2031,13670.49877825117,Bleckley County
2032,13830.838756547475,Bleckley County
2033,13992.132478296944,Bleckley County
2034,14154.29824512079,Bleckley County
2025,18920.986672292187,Brantley County
2026,19144.207338784014,Brantley County
2027,19456.757888294855,Brantley County
2028,19584.119174303734,Brantley County
2029,19768.808972757797,Brantley County
2030,19997.27489495521,Brantley County
2031,20087.594944119264,Brantley County
2032,20208.12884188648,Brantley County
2033,20345.700974357693,Brantley County
2034,20381.35302609535,Brantley County
2025,16393.36605625199,Brooks County
2026,16447.534900314306,Brooks County
2027,16498.168243586177,Brooks County
2028,16547.64545452254,Brooks County
2029,16595.32207711408,Brooks County
2030,16641.474762290625,Brooks County
2031,16686.118979782845,Brooks County
2032,16729.35428219354,Brooks County
2033,16771.260114275407,Brooks County
2034,16811.924761411232,Brooks County
2025,52531.3878983243,Bryan County
2026,53945.83421663396,Bryan County
2027,55417.37861821332,Bryan County
2028,56921.32377746629,Bryan County
2029,58465.49143780479,Bryan County
2030,60047.9417545085,Bryan County
2031,61670.8263047372,Bryan County
2032,63335.5947732933,Bryan County
2033,65044.40303402582,Bryan County
2034,66799.49455195786,Bryan County
2025,87158.3429327653,Bulloch County
2026,88614.91450373016,Bulloch County
2027,90084.82669616054,Bulloch County
2028,91724.22237115834,Bulloch County
2029,93338.89752321644,Bulloch County
2030,95007.03706095187,Bulloch County
2031,96762.47320199154,Bulloch County
2032,98563.5652125182,Bulloch County
2033,100435.84540590383,Bulloch County
2034,102389.70607783057,Bulloch County
2025,24539.225402207856,Burke County
2026,24626.702912658377,Burke County
2027,24728.04605445267,Burke County
2028,24837.5044312934,Burke County
2029,24949.990789411695,Burke County
2030,25061.17313046878,Burke County
2031,25167.518107266118,Burke County
2032,25266.28595244885,Burke County
2033,25355.478660246736,Burke County
2034,25433.751152050605,Burke County
2025,27494.336347796438,Butts County
2026,27761.94265570804,Butts County
2027,28022.180090748137,Butts County
2028,28314.15219341277,Butts County
2029,28582.872735193396,Butts County
2030,28834.93973595971,Butts County
2031,29086.511307159642,Butts County
2032,29326.393160123087,Butts County
2033,29551.850566993475,Butts County
2034,29767.118982481228,Butts County
2025,5426.702819489401,Calhoun County
2026,5408.785878965829,Calhoun County
2027,5392.99275600466,Calhoun County
2028,5375.312210299039,Calhoun County
2029,5357.587480700784,Calhoun County
2030,5338.007927478965,Calhoun County
