Label (Grouping),United States!!Estimate,United States!!Margin of Error,United States!!Percent,United States!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,"Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bartow County, Georgia!!Percent","Bartow County, Georgia!!Percent Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bibb County, Georgia!!Percent","Bibb County, Georgia!!Percent Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Bulloch County, Georgia!!Percent","Bulloch County, Georgia!!Percent Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Carroll County, Georgia!!Percent","Carroll County, Georgia!!Percent Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Catoosa County, Georgia!!Percent","Catoosa County, Georgia!!Percent Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Chatham County, Georgia!!Percent","Chatham County, Georgia!!Percent Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Cherokee County, Georgia!!Percent","Cherokee County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Clayton County, Georgia!!Percent","Clayton County, Georgia!!Percent Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Cobb County, Georgia!!Percent","Cobb County, Georgia!!Percent Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Columbia County, Georgia!!Percent","Columbia County, Georgia!!Percent Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","Coweta County, Georgia!!Percent","Coweta County, Georgia!!Percent Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","DeKalb County, Georgia!!Percent","DeKalb County, Georgia!!Percent Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Dougherty County, Georgia!!Percent","Dougherty County, Georgia!!Percent Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Douglas County, Georgia!!Percent","Douglas County, Georgia!!Percent Margin of Error","Effingham County, Georgia!!Estimate","Effingham County, Georgia!!Margin of Error","Effingham County, Georgia!!Percent","Effingham County, Georgia!!Percent Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Fayette County, Georgia!!Percent","Fayette County, Georgia!!Percent Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Floyd County, Georgia!!Percent","Floyd County, Georgia!!Percent Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Forsyth County, Georgia!!Percent","Forsyth County, Georgia!!Percent Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Fulton County, Georgia!!Percent","Fulton County, Georgia!!Percent Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Glynn County, Georgia!!Percent","Glynn County, Georgia!!Percent Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Percent","Gwinnett County, Georgia!!Percent Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Hall County, Georgia!!Percent","Hall County, Georgia!!Percent Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Henry County, Georgia!!Percent","Henry County, Georgia!!Percent Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Houston County, Georgia!!Percent","Houston County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Liberty County, Georgia!!Estimate","Liberty County, Georgia!!Margin of Error","Liberty County, Georgia!!Percent","Liberty County, Georgia!!Percent Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Lowndes County, Georgia!!Percent","Lowndes County, Georgia!!Percent Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Muscogee County, Georgia!!Percent","Muscogee County, Georgia!!Percent Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Newton County, Georgia!!Percent","Newton County, Georgia!!Percent Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Paulding County, Georgia!!Percent","Paulding County, Georgia!!Percent Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Richmond County, Georgia!!Percent","Richmond County, Georgia!!Percent Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Rockdale County, Georgia!!Percent","Rockdale County, Georgia!!Percent Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Spalding County, Georgia!!Percent","Spalding County, Georgia!!Percent Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Troup County, Georgia!!Percent","Troup County, Georgia!!Percent Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walker County, Georgia!!Percent","Walker County, Georgia!!Percent Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Walton County, Georgia!!Percent","Walton County, Georgia!!Percent Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","Whitfield County, Georgia!!Percent","Whitfield County, Georgia!!Percent Margin of Error"
        Native Hawaiian and Other Pacific Islander,"1,692,370","±32,778",0.5%,±0.1,"27,553","±4,414",0.2%,±0.1,N,N,N,N,845,±820,0.7%,±0.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,676,±542,0.2%,±0.2,"1,613","±1,547",1.2%,±1.2,446,±379,0.1%,±0.1,"1,916","±1,057",0.2%,±0.1,"2,065","±1,787",1.2%,±1.1,N,N,N,N,815,±592,0.1%,±0.1,N,N,N,N,"2,674","±2,220",1.8%,±1.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"2,260","±1,594",0.2%,±0.1,N,N,N,N,"1,873","±1,083",0.2%,±0.1,495,±488,0.2%,±0.2,N,N,N,N,"1,506","±1,388",0.9%,±0.8,N,N,N,N,N,N,N,N,N,N,N,N,877,±598,0.4%,±0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
        Some Other Race,"56,915,524","±154,133",16.7%,±0.1,"1,147,285","±24,273",10.3%,±0.2,"14,858","±1,368",15.4%,±1.4,"11,402","±2,160",9.7%,±1.8,"6,877","±1,654",4.4%,±1.1,"3,960","±1,901",4.6%,±2.2,"11,134","±1,773",8.6%,±1.4,"3,487",±445,5.1%,±0.6,"20,280","±3,725",6.6%,±1.2,"31,624","±3,111",10.8%,±1.1,"12,266","±3,670",9.4%,±2.8,"36,192","±5,102",12.2%,±1.7,"116,510","±5,317",14.8%,±0.7,"12,045","±2,401",7.2%,±1.4,"13,277","±1,735",8.4%,±1.1,"84,266","±5,721",10.9%,±0.7,"2,993",±509,3.6%,±0.6,"15,128","±3,064",10.0%,±2.0,"5,131","±1,549",7.0%,±2.1,"12,657","±2,731",10.1%,±2.2,"11,263","±2,597",11.1%,±2.6,"26,136","±3,467",9.3%,±1.2,"81,226","±7,133",7.4%,±0.7,"6,985","±2,819",8.1%,±3.3,"222,051","±7,897",22.1%,±0.8,"52,211","±4,140",23.5%,±1.9,"19,381","±2,524",7.5%,±1.0,"10,394","±3,142",5.9%,±1.8,"8,370","±1,877",8.9%,±2.0,"10,127","±3,030",14.8%,±4.4,"7,825","±1,941",6.4%,±1.6,"15,949","±2,790",7.9%,±1.4,"6,551","±2,498",5.3%,±2.0,"21,769","±3,537",11.5%,±1.9,"11,902","±2,128",5.8%,±1.0,"6,839","±1,815",7.0%,±1.9,"4,610",±917,6.6%,±1.3,"3,309",±802,4.6%,±1.1,"2,024",±572,2.9%,±0.8,"8,970","±2,402",8.2%,±2.2,"34,596","±2,894",32.9%,±2.8
HISPANIC OR LATINO AND RACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"340,110,990",*****,"340,110,990",(X),"11,180,878",*****,"11,180,878",(X),"96,294",*****,"96,294",(X),"117,508",*****,"117,508",(X),"157,056",*****,"157,056",(X),"85,454",*****,"85,454",(X),"129,911",*****,"129,911",(X),"68,940",*****,"68,940",(X),"307,336",*****,"307,336",(X),"293,513",*****,"293,513",(X),"129,995",*****,"129,995",(X),"297,703",*****,"297,703",(X),"787,538",*****,"787,538",(X),"167,472",*****,"167,472",(X),"158,233",*****,"158,233",(X),"770,307",*****,"770,307",(X),"82,418",*****,"82,418",(X),"151,887",*****,"151,887",(X),"73,148",*****,"73,148",(X),"125,107",*****,"125,107",(X),"101,390",*****,"101,390",(X),"280,096",*****,"280,096",(X),"1,090,354",*****,"1,090,354",(X),"86,540",*****,"86,540",(X),"1,003,869",*****,"1,003,869",(X),"221,745",*****,"221,745",(X),"259,315",*****,"259,315",(X),"174,897",*****,"174,897",(X),"93,825",*****,"93,825",(X),"68,607",*****,"68,607",(X),"122,082",*****,"122,082",(X),"201,830",*****,"201,830",(X),"124,010",*****,"124,010",(X),"188,549",*****,"188,549",(X),"206,303",*****,"206,303",(X),"97,610",*****,"97,610",(X),"70,292",*****,"70,292",(X),"71,513",*****,"71,513",(X),"69,340",*****,"69,340",(X),"109,792",*****,"109,792",(X),"105,070",*****,"105,070",(X)
        Hispanic or Latino (of any race),"68,013,553","±8,596",20.0%,±0.1,"1,299,200","±3,639",11.6%,±0.1,"16,776",*****,17.4%,*****,"13,231",*****,11.3%,*****,"8,145",*****,5.2%,*****,"4,550",*****,5.3%,*****,"12,234",*****,9.4%,*****,"3,127",*****,4.5%,*****,"27,206",*****,8.9%,*****,"37,752",*****,12.9%,*****,"16,336",*****,12.6%,*****,"44,405",*****,14.9%,*****,"124,393",*****,15.8%,*****,"13,809",*****,8.2%,*****,"13,894",*****,8.8%,*****,"83,383",*****,10.8%,*****,"3,115",*****,3.8%,*****,"20,081",*****,13.2%,*****,"5,465",*****,7.5%,*****,"11,591",*****,9.3%,*****,"13,469",*****,13.3%,*****,"28,535",*****,10.2%,*****,"91,120",*****,8.4%,*****,"7,146",*****,8.3%,*****,"246,096",*****,24.5%,*****,"67,028",*****,30.2%,*****,"22,758",*****,8.8%,*****,"14,151",*****,8.1%,*****,"12,104",*****,12.9%,*****,"9,099",*****,13.3%,*****,"9,365",*****,7.7%,*****,"18,148",*****,9.0%,*****,"9,754",*****,7.9%,*****,"18,549",*****,9.8%,*****,"12,496",*****,6.1%,*****,"11,294",*****,11.6%,*****,"4,865",*****,6.9%,*****,"3,824",*****,5.3%,*****,"2,187",*****,3.2%,*****,"8,500",*****,7.7%,*****,"40,395",*****,38.4%,*****
            Mexican,"38,990,058","±119,679",11.5%,±0.1,"623,486","±22,634",5.6%,±0.2,"7,304","±2,245",7.6%,±2.3,"6,947","±1,846",5.9%,±1.6,"4,540","±1,713",2.9%,±1.1,N,N,N,N,N,N,N,N,N,N,N,N,"11,411","±2,599",3.7%,±0.8,"12,489","±3,767",4.3%,±1.3,"8,652","±2,694",6.7%,±2.1,"29,363","±4,489",9.9%,±1.5,"60,292","±7,552",7.7%,±1.0,"5,189","±1,774",3.1%,±1.1,"8,187","±1,870",5.2%,±1.2,"35,345","±4,781",4.6%,±0.6,N,N,N,N,"9,736","±2,703",6.4%,±1.8,N,N,N,N,"6,240","±2,078",5.0%,±1.7,N,N,N,N,"15,658","±3,517",5.6%,±1.3,"31,135","±5,751",2.9%,±0.5,N,N,N,N,"97,204","±9,800",9.7%,±1.0,"42,572","±5,051",19.2%,±2.3,"11,109","±2,148",4.3%,±0.8,"6,497","±2,383",3.7%,±1.4,"7,037","±1,584",7.5%,±1.7,"2,327","±1,220",3.4%,±1.8,"4,772","±1,675",3.9%,±1.4,"5,911","±2,302",2.9%,±1.1,N,N,N,N,"9,841","±2,773",5.2%,±1.5,"3,569","±1,246",1.7%,±0.6,N,N,N,N,"2,263",±883,3.2%,±1.3,N,N,N,N,N,N,N,N,"3,706","±1,855",3.4%,±1.7,"29,228","±3,944",27.8%,±3.8
            Puerto Rican,"6,110,356","±75,801",1.8%,±0.1,"130,276","±10,533",1.2%,±0.1,"1,062",±914,1.1%,±0.9,"2,288","±1,434",1.9%,±1.2,914,±733,0.6%,±0.5,N,N,N,N,N,N,N,N,N,N,N,N,"4,313","±1,422",1.4%,±0.5,"3,883","±2,339",1.3%,±0.8,"1,073","±1,081",0.8%,±0.8,"4,031","±2,519",1.4%,±0.8,"11,159","±2,595",1.4%,±0.3,"4,749","±1,725",2.8%,±1.0,901,±638,0.6%,±0.4,"8,633","±3,140",1.1%,±0.4,N,N,N,N,"2,637","±1,450",1.7%,±1.0,N,N,N,N,"1,662","±1,084",1.3%,±0.9,N,N,N,N,"2,652","±1,558",0.9%,±0.6,"7,532","±2,017",0.7%,±0.2,N,N,N,N,"12,269","±4,315",1.2%,±0.4,"4,200","±2,373",1.9%,±1.1,"2,886","±1,513",1.1%,±0.6,"2,631","±1,472",1.5%,±0.8,599,±523,0.6%,±0.6,"4,462","±1,450",6.5%,±2.1,989,±733,0.8%,±0.6,"3,989","±1,582",2.0%,±0.8,N,N,N,N,"2,243","±1,301",1.2%,±0.7,"3,726","±1,420",1.8%,±0.7,N,N,N,N,442,±421,0.6%,±0.6,N,N,N,N,N,N,N,N,"1,824","±1,693",1.7%,±1.5,"1,886","±1,327",1.8%,±1.3
            Cuban,"2,948,426","±46,657",0.9%,±0.1,"49,057","±7,561",0.4%,±0.1,696,±531,0.7%,±0.6,984,"±1,159",0.8%,±1.0,377,±385,0.2%,±0.2,N,N,N,N,N,N,N,N,N,N,N,N,"1,640","±1,021",0.5%,±0.3,"1,212",±605,0.4%,±0.2,542,±493,0.4%,±0.4,"2,985","±2,546",1.0%,±0.9,"3,653","±1,249",0.5%,±0.2,227,±261,0.1%,±0.2,64,±114,0.0%,±0.1,"2,910","±1,539",0.4%,±0.2,N,N,N,N,474,±654,0.3%,±0.4,N,N,N,N,698,±603,0.6%,±0.5,N,N,N,N,"2,682","±2,606",1.0%,±0.9,"6,006","±2,067",0.6%,±0.2,N,N,N,N,"7,252","±3,718",0.7%,±0.4,772,±466,0.3%,±0.2,"2,339","±1,319",0.9%,±0.5,221,±206,0.1%,±0.1,125,±185,0.1%,±0.2,197,±328,0.3%,±0.5,443,±437,0.4%,±0.4,551,±400,0.3%,±0.2,N,N,N,N,"1,051",±900,0.6%,±0.5,580,±460,0.3%,±0.2,N,N,N,N,58,±110,0.1%,±0.2,N,N,N,N,N,N,N,N,790,±681,0.7%,±0.6,355,±492,0.3%,±0.5
            Other Hispanic or Latino,"19,964,713","±122,324",5.9%,±0.1,"496,381","±19,214",4.4%,±0.2,"7,714","±2,337",8.0%,±2.4,"3,012","±1,447",2.6%,±1.2,"2,314","±1,324",1.5%,±0.8,N,N,N,N,N,N,N,N,N,N,N,N,"9,842","±2,389",3.2%,±0.8,"20,168","±3,824",6.9%,±1.3,"6,069","±2,452",4.7%,±1.9,"8,026","±3,780",2.7%,±1.3,"49,289","±7,302",6.3%,±0.9,"3,644","±1,605",2.2%,±1.0,"4,742","±1,746",3.0%,±1.1,"36,495","±5,375",4.7%,±0.7,N,N,N,N,"7,234","±2,209",4.8%,±1.5,N,N,N,N,"2,991","±1,544",2.4%,±1.2,N,N,N,N,"7,543","±2,644",2.7%,±0.9,"46,447","±6,004",4.3%,±0.6,N,N,N,N,"129,371","±10,687",12.9%,±1.1,"19,484","±4,522",8.8%,±2.0,"6,424","±1,995",2.5%,±0.8,"4,802","±2,109",2.7%,±1.2,"4,343","±1,810",4.6%,±1.9,"2,113","±1,154",3.1%,±1.7,"3,161","±1,540",2.6%,±1.3,"7,697","±2,291",3.8%,±1.1,N,N,N,N,"5,414","±2,311",2.9%,±1.2,"4,621","±1,692",2.2%,±0.8,N,N,N,N,"2,102",±865,3.0%,±1.2,N,N,N,N,N,N,N,N,"2,180","±1,327",2.0%,±1.2,"8,926","±3,732",8.5%,±3.6
        Not Hispanic or Latino,"272,097,437","±8,597",80.0%,±0.1,"9,881,678","±3,639",88.4%,±0.1,"79,518",*****,82.6%,*****,"104,277",*****,88.7%,*****,"148,911",*****,94.8%,*****,"80,904",*****,94.7%,*****,"117,677",*****,90.6%,*****,"65,813",*****,95.5%,*****,"280,130",*****,91.1%,*****,"255,761",*****,87.1%,*****,"113,659",*****,87.4%,*****,"253,298",*****,85.1%,*****,"663,145",*****,84.2%,*****,"153,663",*****,91.8%,*****,"144,339",*****,91.2%,*****,"686,924",*****,89.2%,*****,"79,303",*****,96.2%,*****,"131,806",*****,86.8%,*****,"67,683",*****,92.5%,*****,"113,516",*****,90.7%,*****,"87,921",*****,86.7%,*****,"251,561",*****,89.8%,*****,"999,234",*****,91.6%,*****,"79,394",*****,91.7%,*****,"757,773",*****,75.5%,*****,"154,717",*****,69.8%,*****,"236,557",*****,91.2%,*****,"160,746",*****,91.9%,*****,"81,721",*****,87.1%,*****,"59,508",*****,86.7%,*****,"112,717",*****,92.3%,*****,"183,682",*****,91.0%,*****,"114,256",*****,92.1%,*****,"170,000",*****,90.2%,*****,"193,807",*****,93.9%,*****,"86,316",*****,88.4%,*****,"65,427",*****,93.1%,*****,"67,689",*****,94.7%,*****,"67,153",*****,96.8%,*****,"101,292",*****,92.3%,*****,"64,675",*****,61.6%,*****
            White alone,"191,382,624","±50,356",56.3%,±0.1,"5,367,827","±8,867",48.0%,±0.1,"56,830",±733,59.0%,±0.8,"84,554","±1,220",72.0%,±1.0,"53,099",±399,33.8%,±0.3,"52,553",±450,61.5%,±0.5,"85,684",±567,66.0%,±0.4,"60,270",±175,87.4%,±0.3,"138,864",±972,45.2%,±0.3,"213,392","±1,697",72.7%,±0.6,"69,792","±1,072",53.7%,±0.8,"21,435","±1,297",7.2%,±0.4,"367,547","±2,149",46.7%,±0.3,"102,680","±1,656",61.3%,±1.0,"103,513",±872,65.4%,±0.6,"212,587","±1,942",27.6%,±0.3,"18,120",±73,22.0%,±0.1,"42,861",±747,28.2%,±0.5,"51,902",±992,71.0%,±1.4,"67,078","±2,097",53.6%,±1.7,"68,600",±471,67.7%,±0.5,"162,981","±1,332",58.2%,±0.5,"394,666","±2,114",36.2%,±0.2,"53,174",±766,61.4%,±0.9,"283,942","±2,233",28.3%,±0.2,"125,270",±829,56.5%,±0.4,"73,997",±745,28.5%,±0.3,"84,882","±2,236",48.5%,±1.3,"68,260",±63,72.8%,±0.1,"23,123","±2,063",33.7%,±3.0,"60,547","±1,355",49.6%,±1.1,"72,617",±734,36.0%,±0.4,"44,976",±419,36.3%,±0.3,"105,860","±2,688",56.1%,±1.4,"62,527",±749,30.3%,±0.4,"21,222",±333,21.7%,±0.3,"36,051",±578,51.3%,±0.8,"37,973",±410,53.1%,±0.6,"61,344",±282,88.5%,±0.4,"71,071","±1,315",64.7%,±1.2,"56,680",±632,53.9%,±0.6
            Black or African American alone,"39,959,479","±99,682",11.7%,±0.1,"3,382,731","±18,494",30.3%,±0.2,"13,040","±1,960",13.5%,±2.0,"12,203","±1,356",10.4%,±1.2,"86,382","±2,237",55.0%,±1.4,"23,010","±1,604",26.9%,±1.9,"22,360","±2,274",17.2%,±1.8,"1,263",±603,1.8%,±0.9,"113,914","±3,639",37.1%,±1.2,"21,307","±1,564",7.3%,±0.5,"30,958","±2,586",23.8%,±2.0,"202,322","±3,545",68.0%,±1.2,"207,500","±4,384",26.3%,±0.6,"32,865","±2,332",19.6%,±1.4,"29,654","±1,984",18.7%,±1.3,"386,661","±5,614",50.2%,±0.7,"56,639","±1,764",68.7%,±2.1,"76,473","±2,796",50.3%,±1.8,"10,589","±1,229",14.5%,±1.7,"32,404","±1,749",25.9%,±1.4,"14,344","±1,052",14.1%,±1.0,"13,096","±1,458",4.7%,±0.5,"450,874","±6,305",41.4%,±0.6,"19,386","±2,499",22.4%,±2.9,"276,496","±5,879",27.5%,±0.6,"15,153","±1,294",6.8%,±0.6,"139,340","±3,750",53.7%,±1.4,"60,044","±1,839",34.3%,±1.1,"7,418","±1,251",7.9%,±1.3,"25,957","±2,273",37.8%,±3.3,"45,959","±1,283",37.6%,±1.1,"94,051","±2,867",46.6%,±1.4,"60,684","±2,289",48.9%,±1.8,"44,477","±2,914",23.6%,±1.5,"115,616","±2,657",56.0%,±1.3,"57,216","±2,316",58.6%,±2.4,"26,247","±1,918",37.3%,±2.7,"25,206","±1,423",35.2%,±2.0,"2,664",±624,3.8%,±0.9,"22,107","±1,964",20.1%,±1.8,"1,516",±760,1.4%,±0.7
            American Indian and Alaska Native alone,"1,768,838","±19,995",0.5%,±0.1,"17,452","±3,943",0.2%,±0.1,312,±342,0.3%,±0.4,149,±137,0.1%,±0.1,0,±232,0.0%,±0.1,33,±60,0.0%,±0.1,"1,071","±1,045",0.8%,±0.8,0,±232,0.0%,±0.3,194,±218,0.1%,±0.1,67,±112,0.0%,±0.1,32,±50,0.0%,±0.1,474,±319,0.2%,±0.1,650,±273,0.1%,±0.1,229,±237,0.1%,±0.1,12,±26,0.0%,±0.1,625,±270,0.1%,±0.1,455,±650,0.6%,±0.8,134,±238,0.1%,±0.2,144,±177,0.2%,±0.2,0,±232,0.0%,±0.2,10,±17,0.0%,±0.1,674,±394,0.2%,±0.1,716,±313,0.1%,±0.1,29,±42,0.0%,±0.1,944,±490,0.1%,±0.1,22,±36,0.0%,±0.1,218,±154,0.1%,±0.1,165,±6,0.1%,±0.1,0,±232,0.0%,±0.2,"1,174","±1,393",1.7%,±2.0,0,±232,0.0%,±0.2,192,±276,0.1%,±0.1,0,±232,0.0%,±0.2,"2,328","±2,678",1.2%,±1.4,60,±116,0.0%,±0.1,0,±232,0.0%,±0.2,0,±232,0.0%,±0.3,98,±78,0.1%,±0.1,89,±107,0.1%,±0.2,64,±87,0.1%,±0.1,0,±232,0.0%,±0.2
            Asian alone,"21,036,558","±47,044",6.2%,±0.1,"544,226","±8,015",4.9%,±0.1,"3,729",±817,3.9%,±0.8,"1,711",±439,1.5%,±0.4,"3,739",±341,2.4%,±0.2,"1,000",±688,1.2%,±0.8,"1,321",±517,1.0%,±0.4,964,±381,1.4%,±0.6,"10,967",±675,3.6%,±0.2,"8,581","±1,208",2.9%,±0.4,"5,441",±465,4.2%,±0.4,"14,995",±983,5.0%,±0.3,"44,669","±1,796",5.7%,±0.2,"8,243","±1,194",4.9%,±0.7,"3,928",±739,2.5%,±0.5,"48,293","±1,960",6.3%,±0.3,584,±251,0.7%,±0.3,"2,316",±792,1.5%,±0.5,"1,159",±220,1.6%,±0.3,"7,363",±448,5.9%,±0.4,"1,404",±553,1.4%,±0.5,"64,714","±1,516",23.1%,±0.5,"89,220","±2,333",8.2%,±0.2,"1,517",±566,1.8%,±0.7,"140,953","±3,136",14.0%,±0.3,"5,328","±1,324",2.4%,±0.6,"9,663",±468,3.7%,±0.2,"5,371","±1,287",3.1%,±0.7,"3,013",±283,3.2%,±0.3,"1,049",±577,1.5%,±0.8,"1,868",±806,1.5%,±0.7,"5,777",±883,2.9%,±0.4,"2,165",±150,1.7%,±0.1,"3,434",±768,1.8%,±0.4,"3,598",±403,1.7%,±0.2,"1,634",±509,1.7%,±0.5,851,±778,1.2%,±1.1,"1,645",±505,2.3%,±0.7,0,±232,0.0%,±0.3,"1,896",±619,1.7%,±0.6,"1,221",±241,1.2%,±0.2
            Native Hawaiian and Other Pacific Islander alone,"581,100","±15,282",0.2%,±0.1,"7,496","±3,008",0.1%,±0.1,0,±232,0.0%,±0.2,95,±155,0.1%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.3,0,±232,0.0%,±0.2,0,±232,0.0%,±0.3,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,422,±692,0.3%,±0.5,116,±202,0.0%,±0.1,158,±182,0.0%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.1,0,±232,0.0%,±0.3,786,"±1,039",0.5%,±0.7,0,±232,0.0%,±0.3,190,±334,0.2%,±0.3,0,±232,0.0%,±0.2,137,±200,0.0%,±0.1,444,±580,0.0%,±0.1,0,±232,0.0%,±0.3,367,±168,0.0%,±0.1,0,±232,0.0%,±0.1,622,±796,0.2%,±0.3,0,±232,0.0%,±0.1,0,±232,0.0%,±0.2,845,"±1,156",1.2%,±1.7,0,±232,0.0%,±0.2,0,±232,0.0%,±0.1,0,±232,0.0%,±0.2,164,±256,0.1%,±0.1,75,±117,0.0%,±0.1,0,±232,0.0%,±0.2,0,±232,0.0%,±0.3,0,±232,0.0%,±0.3,0,±232,0.0%,±0.3,0,±232,0.0%,±0.2,0,±232,0.0%,±0.2
            Some Other Race alone,"1,852,889","±48,900",0.5%,±0.1,"69,411","±9,454",0.6%,±0.1,392,±584,0.4%,±0.6,512,±590,0.4%,±0.5,293,±292,0.2%,±0.2,636,±566,0.7%,±0.7,429,±511,0.3%,±0.4,135,±167,0.2%,±0.2,"3,678","±2,818",1.2%,±0.9,630,±402,0.2%,±0.1,546,±530,0.4%,±0.4,"2,252","±1,650",0.8%,±0.6,"5,578","±1,987",0.7%,±0.3,"1,355","±1,336",0.8%,±0.8,"1,425","±1,164",0.9%,±0.7,"6,654","±3,544",0.9%,±0.5,170,±216,0.2%,±0.3,"1,249","±1,498",0.8%,±1.0,580,±910,0.8%,±1.2,"2,532","±2,308",2.0%,±1.8,245,±297,0.2%,±0.3,"1,279",±893,0.5%,±0.3,"6,391","±2,323",0.6%,±0.2,"1,204","±1,222",1.4%,±1.4,"9,309","±3,337",0.9%,±0.3,"1,056","±1,046",0.5%,±0.5,"1,287",±917,0.5%,±0.4,"1,964","±1,221",1.1%,±0.7,0,±232,0.0%,±0.2,732,±798,1.1%,±1.2,"1,328","±1,536",1.1%,±1.3,"1,679",±974,0.8%,±0.5,215,±324,0.2%,±0.3,"1,746","±1,212",0.9%,±0.6,"1,228","±1,441",0.6%,±0.7,407,±463,0.4%,±0.5,395,±511,0.6%,±0.7,0,±232,0.0%,±0.3,368,±354,0.5%,±0.5,"1,273","±1,291",1.2%,±1.2,76,±108,0.1%,±0.1
